score,metric,decoys,pocket_id
0.9988945041061277,AuROC,pdb_chembl,4K31_B_AM2_101
0.9962886923562855,AuROC,pdb_chembl,5NDV_5_PAR_3403
0.23018003790271635,AuROC,pdb_chembl,7N2V_16_SCM_1602
0.9961307643714465,AuROC,pdb_chembl,3C44_B_PAR_24
0.9207201516108654,AuROC,pdb_chembl,6CHR_A_SPM_741
0.9952621604548325,AuROC,pdb_chembl,1ZZ5_A_CNY_43
0.972520530638029,AuROC,pdb_chembl,1NBK_A_GND_35
0.646083385975995,AuROC,pdb_chembl,7OA3_B_GTP_102
0.7169036334913113,AuROC,pdb_chembl,6WZR_A_UG1_106
0.9985786481364498,AuROC,pdb_chembl,5OBM_5_LLL_4167
0.9979469361970941,AuROC,pdb_chembl,5NDW_1_8UZ_3886
0.995499052432091,AuROC,pdb_chembl,6AZ3_1_PAR_1802
0.9900505369551486,AuROC,pdb_chembl,6BSJ_R_TAM_101
0.9961307643714467,AuROC,pdb_chembl,5NDV_1_PAR_3414
0.2882185723310171,AuROC,pdb_chembl,5LWJ_A_GTP_101
0.6652117238110287,AuROC,pdb_chembl,7REX_B_PRF_102
0.4891819330385344,AuROC,pdb_chembl,4DR4_A_PAR_1612
0.8935565382185723,AuROC,pdb_chembl,1BYJ_A_GE3_30
0.947094125078964,AuROC,pdb_chembl,2F4V_A_D2C_1636
0.9995262160454832,AuROC,pdb_chembl,2ET5_B_RIO_52
0.7943777637397347,AuROC,pdb_chembl,2L8H_A_L8H_2
0.9207201516108654,AuROC,pdb_chembl,1TOB_A_TOA_28
0.44172457359444095,AuROC,pdb_chembl,6DB8_R_G4A_101
0.8378079595704359,AuROC,pdb_chembl,6LAU_A_GTP_103
0.9962886923562855,AuROC,pdb_chembl,2MXS_A_PAR_101
0.3168035375868604,AuROC,pdb_chembl,6E8S_B_SPM_107
0.13723941882501578,AuROC,pdb_chembl,5KVJ_A_ARG_101
0.008054327226784563,AuROC,pdb_chembl,6XRQ_A_V8A_103
0.9895767530006316,AuROC,pdb_chembl,6GZR_A_FH8_101
0.8946620341124447,AuROC,pdb_chembl,6QIS_E_J48_102
0.13269017871263644,AuROC,pdb_chembl,2HOJ_A_TPP_114
0.9961307643714467,AuROC,pdb_chembl,5NDV_1_PAR_3405
0.8046430827542641,AuROC,pdb_chembl,2QWY_C_SAM_500
0.995499052432091,AuROC,pdb_chembl,5NDV_1_PAR_3404
0.8930827542640556,AuROC,pdb_chembl,6QIS_H_J48_101
0.9794693619709413,AuROC,pdb_chembl,1I97_A_TAC_2005
0.6456096020214782,AuROC,pdb_chembl,6OM6_1_KKL_3301
0.9988945041061276,AuROC,pdb_chembl,4K31_C_AM2_102
0.9982627921667719,AuROC,pdb_chembl,4V53_AA_LLL_2062
0.9709412507896399,AuROC,pdb_chembl,4V76_BA_FME_3001
0.901610865445357,AuROC,pdb_chembl,6QIT_D_J48_101
0.9796272899557801,AuROC,pdb_chembl,4V70_BA_FME_3001
0.8924510423246999,AuROC,pdb_chembl,6QIS_B_J48_101
0.8445988629185092,AuROC,pdb_chembl,4V6Y_BA_FME_3001
