,0
CCOC(c1ccc2c(c1)c(cc(C)n2)Nc1cccc(c1)O)=O,"['C/C(O)=N/[C@H]1[C@H]2OC[C@@H](O2)[C@@H](O)[C@@H]1O[C@@H](C)C(=O)O', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\\C/C=C\\C/C=C\\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC', 'CCCCCCCCC[C@H]1CCCOC1=O', 'C[C@@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@@H]3[C@@H]1CC[C@H]2O', 'C[C@@H](O)C(C)(C)C', 'O=C1CCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1', 'CCCCC/C=C\\C/C=C\\C/C=C\\CCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCCN)O/C=C\\CCCCCCCC/C=C\\CCCCCC', 'COc1cc(-c2cc(=O)c3c(O)cc(O)c([C@H]4O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@H]4OC[C@@H](O)[C@@H](O)[C@H]4O)c3o2)ccc1O', 'C[C@@H](N)[C@@]12C[C@H]3C[C@@H](C1)C(O)[C@H](C3)C2', 'O=C(O)CC[C@@H](CCC(=O)NO)C(=O)O', 'CC(=O)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C', 'C[C@H]1C(=O)O[C@@H]2CC[N@@+]3([O-])CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23', 'CCCCC/C=C\\C/C=C\\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC', 'O=C(O)CCC(=O)N[C@H]1CO[C@@H]2[C@@H](Nc3nccc(-c4ccc(-c5ccccc5)cc4)n3)CO[C@H]12', 'Cc1ccc(-c2cc(=S)c3ccc(C)cc3o2)cc1']"
C1CN(CC1n1ccnc1)c1c2CCNCCc2nc(c2ccccn2)n1,"['CSCC(=O)N1C[C@@H]2C[C@H](C1)c1ccc(-c3cccnc3)c(=O)n1C2', 'CCCCC/C=C/C/C=C/C/C=C/CCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C/CCCCCC)CO[P@@](=O)(O)OCC[N+](C)(C)C', 'CC(C)(C)[C@@H](NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(N)=O', 'c1cc(-c2nnc([C@H]3CCN(CC4CC4)C3)o2)ccn1', 'CC/C=C\\C[C@H](O)/C=C/C=C/C=C\\C=C/[C@@H](O)[C@H](O)CCCC(=O)O', 'COc1c(O)c(C=O)c2c(c1C(C)C)C(=O)[C@@]1(C)CC=C(CCC=C(C)C)C[C@@H]1C2=O', 'CCC(=O)[C@@H]1C[C@H](C)[C@]2(CC[C@]3(C)C4=C(CC[C@]23C)[C@]2(C)CC[C@H](O)[C@@](C)(CO)[C@H]2CC4)O1', 'CCCS(=O)(=O)Nc1ccc2n(c1=O)C[C@H]1C[C@@H]2CN(C(=O)Nc2cc(OC)cc(OC)c2)C1', 'O=Cc1ccc(CO[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)o1', 'CC(=O)O[C@H]1[C@@H](Oc2ccc(O)cc2)O[C@H](CO)[C@H](O)[C@H]1O', 'C[C@H]1[C@]2(O)C[C@@H]3CC[C@H]4C[C@@]5(C)[C@@H]6C[C@](C)(C(=O)O)CC[C@]6(C)CC[C@]5(C)[C@H]5CC[C@@]1(CO2)[C@@H]3[C@]45C', 'COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCC(=O)O', 'C=C[C@@H](C#CC#CC/C=C\\CC(=O)OC)O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O', 'C[C@H](CCc1ccccc1)C[C@@H]1CC[C@@]23CC[C@@]1(/C=C/C(=O)CCc1ccc(O)c(c1)OCCc1ccc(O)c(c1)[C@H]1CC(=O)[c-]4ccnc4CC#Cc4cc(C(N)N)c(cc41)CSSC2)C3', 'COc1ccccc1N1CCN(C(=O)C[C@@H]2O[C@H](CNC(=O)Nc3ccc(C)cc3)[C@@H](O)[C@H]2O)CC1']"
Cc1c(CCC(Nc2cccc(c2)OC)=O)c(C)n2c(n1)nc(CN)n2,"['Cc1ccc(C(=O)c2cn(CCC[C@H](C)O)c3ccccc23)c2ccccc12', 'C[C@H](CC(=O)O)OP(=O)(O)O', 'CCCCC/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\\C/C=C\\CCCCC)CO[P@](=O)(O)O[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H]1O', 'c1ccc(Cc2ccc(OC[C@H]3CCCN3)cc2)cc1', 'CSCC(=O)N[C@H]1CCN2C(=O)N(c3ccc(C(C)C)cc3)C(=O)[C@@H]2C1', 'CN[C@H](C)CN1c2ccccc2Sc2ccccc21', 'CC1=CCC[C@@]2(C)CC[C@H](C(C)C)C(=O)[C@@H]12', 'CCCCC[C@H](O)/C=C/C=C/C/C=C/C/C=C\\CCCC(=O)O', 'O=C(CCc1ccccc1)C[C@H](O)/C=C/c1ccccc1', 'C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12C=C[C@H](O)[C@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O', 'CCCCCC/C=C\\CCC[C@@H]1C=C[C@@H](C2(c3ccccc3)CCCC2)[C@H](CC(=O)O)C1', 'C[N@+]1([O-])CC=C(c2ccccc2)CC1', 'N[C@H](CS/C(Cc1ccccc1)=N\\O)C(=O)NCC(=O)O', 'COc1cccc(/C=N/CC/N=C/c2cccc(OC)c2O)c1O', 'COc1cc(C(=O)O[C@H]2C=C(C)[C@H](O)C[C@@]3(C)CC[C@@](O)(C(C)C)[C@H]23)ccc1O']"
CSCc1ccc(nc1)N1CCC(CC1)N1CCC(CC1)O,"['C=C(C)[C@]12O[C@]3(/C=C/C=C/CCCCCCCCC)O[C@H]1[C@@H]1[C@H]4O[C@@]4(COC(=O)CCCCCCCCCCCCCCC)[C@@H](O)[C@@]4(O)C(=O)C(C)=C[C@H]4[C@]1(O3)[C@@H](C)[C@@H]2OC(C)=O', 'O=C(O)C1=C[C@H](O)[C@@H]2O[C@@H]2C1', 'CCCCCCCCc1ccc(CC[C@](N)(CO)CO[P+](O)(O)O)cc1', 'CC1(C)O[C@]2(C)CC[C@]1(O)C[C@@H]2O', 'COc1cc2oc(=O)ccc2cc1[C@@H](C=C(C)C)c1c(OC)cc2c(c1O)c(=O)c1ccc(OC)c(OC)c1n2C', 'CC[C@@H](C)Nc1cc(C(=O)N[C@H]2C[C@@H]3CC[C@H](C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O', 'CC(=O)O[C@H](CCc1cc(CN2CCCC2=O)c(O)c(OC2CCCC2)c1)C[C@@H](O)CCCCC1CCCCC1', 'COc1ccc(-c2noc(C(=O)O)c2[C@@H](C)NC(=O)NC2CCCCC2)cc1', 'C=C1C(=O)O[C@H]2[C@H]3C(C)=CC[C@H](O)[C@@]3(C)CC[C@H]12', 'COC(=O)/C(C#N)=C1\\SCC(=O)N1c1ccc(-c2ccc(OC)cc2)cc1F', 'C[C@@H]1CC[C@@H]2N(C1)C[C@H]1[C@]3([C@@H](O)C[C@@]4(O)[C@H]5CC[C@@H]6[C@]7(C)CC[C@@H](O)[C@]6(O)O[C@@]57C[C@@]14O)[C@](C)(O)[C@]23O', 'Cc1cc(O)c2c(c1)C(=O)c1cccc(O[C@@H]3O[C@H](COC(=O)c4cc(O)c(O)c(O)c4)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O', 'Cc1cc(C)c2c(c1)[C@H](C)CCC2', 'CC1(C)[C@@H]2CC[C@H]3CCC[C@H]4[C@H](C=O)C(C(=O)O)=C(C2)[C@]431', 'C[C@]12C(=O)C=CCC1=CC[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@]3(C)[C@H]4C[C@]5(C)[C@@H]6C(=O)[C@]1(OC[C@@H]5C(=O)O4)O[C@@]623']"
CCS(C(C(N(C)C1S(CC)(=O)=O)=O)N(C)C1=O)(=O)=O,"['COc1c(CO)cnc(CO)c1C', 'CCCCCCCCCCCCCCOC[C@H](CO[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)OCCCCCCCCCCCC', 'CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C', 'C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2c1c[nH]cn1', 'CC(=O)Oc1cccc(C(=O)Cl)c1C', 'C[C@H](CC[C@H]1C(CO)=CC(=O)CC1(C)C)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O', 'Clc1ncc2cn[nH]c2n1', 'CCCCCCCCC/C=C/CCC[C@H](O)[C@@H](O)[C@@H](N)CO', 'NC1=N[C@@H]2CCC[C@@H]2C1', 'CC[C@H](C)C(=O)O[C@H]1CC=CC2=C[C@H](O)[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21', 'CC(=O)O[C@H]1[C@@H]2O[C@]2([C@@H](C)[C@@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](C[C@H](O)[C@@]4(O)CC=CC(=O)[C@]34C)[C@]12O', 'O=C(NC1CCN(Cc2cccc(Br)c2)CC1)c1ccc2ccccc2c1', 'C=C[C@H](CCC(=O)OCC)NC(=O)OC', 'CC1=C[C@H]2C(=O)O[C@H]3C[C@H](C/C=C(/C)C[C@H](C)/C=C\\C=C4\\CO[C@@H](C1=O)[C@@]42O)O[C@@]1(CC[C@@H](C)[C@@H](C)O1)C3', 'CC(C)=CC(=O)NCCC[C@H](NC(=O)[C@@H]1[C@@H](NC(=O)NC(C)C)CCN1C(=O)C=C(C)C)C(N)=O']"
C(=Cc1nc2cc(ccc2[nH]1)N)c1ccccc1,"['CCCCCCCC/C=C\\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC', 'NCCC1=C[C@@H]([C@@H](C=O)CCCCC[C@H]2C/C=C/C[C@H](C(=O)O)Cc3cccc(c3)C[C@H]2c2ccc(O)cc2)CC1', 'C=C1CC[C@@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@H]1CC[C@H](C)CCO', 'C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O', 'C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]21OCC1=O', 'C=C[C@@H](O)C#CC#C[C@@H](/C=C\\CCCCCCC)OC(C)=O', 'C[C@@]12CC[C@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H]3O)CC1=CC[C@H]1[C@H]2CC[C@@]2(C)/C(=C3/COC(=O)C3)CC[C@]12O', 'Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)n(C(=S)Nc2c(F)cccc2F)n1', 'OC[C@@H]1O[C@H](O[C@H]2CO[C@@](O)(CO)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@@H]1O', 'C[C@H]1O[C@@H](Oc2ccc(C/C(=N\\OS(=O)(=O)O)S[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)cc2)[C@@H](O)[C@@H](O)[C@H]1O', 'N#CC1C(=O)c2ccccc2C1=O', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\\CCCC)OC(=O)CCCCCCC/C=C\\C/C=C\\C/C=C\\CC', 'CN(CCc1ccccn1)C[C@H]1CN2CC[C@H]1C[C@@H]2CNC(=O)c1ccc2c(c1)OCO2', 'C=CC1=C(C)[C@H](Cc2[nH]c(/C=C3\\N=C(/C=C4\\NC(=O)[C@H](C)\\C4=C\\C)C(C)=C3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O', 'COC(=O)[C@]12C(=O)[C@](C)(O)C(=O)[C@]1(C)C(C)=C[C@@H]1[C@]2(C)CC[C@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@@]21C=O']"
C1CN(Cc2cnc(NCc3ccccc3)nc2)C[C@@H]([C@H]1CO)O,"['CCC[C@@H](C)CCCC[C@H](C)CC', 'CCCCC/C=C\\C/C=C\\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\\C/C=C\\C/C=C\\CCCCCCCC)COC(=O)CCCCCCC/C=C\\CCCCCC', 'C[C@]12C(=O)NC(=O)N[C@@H]1[C@H]1NC(=O)NC(=N)[C@H]12', 'O=C(N[C@H]1CO[C@@H]2[C@@H](Nc3nccc(C4CCCC4)n3)CO[C@H]12)C1CCCCC1', 'Oc1ccc(/C=C/c2c(CCc3ccc(CNC[C@@]4(C5=N[CH+]N=C5)[C@@H]5[C@@H](O)C=C[C@@H]6CC[C@@H]7C=C[C@H](C[C@]675)C45CCCC5)cc3)c(O)c(O)c3c(O)cccc23)cc1O', 'CCCCCC/C=C\\C/C=C\\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\\CCCCCCCC', 'CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)OC[C@H](CO[P@](=O)(O)OCC[N+](C)(C)C)OC(=O)CCC/C=C/C/C=C/C/C=C\\C/C=C\\CCCCC', 'COc1ccc(CN2CCN3C(=O)N(C)C[C@H]3C2)cn1', 'OC[C@@H]1O[C@H](OC[C@@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O', 'COc1ccc([C@@H]2O[C@H](c3ccc4c(c3)OCO4)[C@H](C)[C@H]2C)cc1OC', 'C[C@@H]([C@@H]1CS[C@H]([C@@H]2CSC(c3ccccc3O)=N2)N1)C(C)(C)C1=N[C@@](C)(C(=O)O)CS1', 'O=C(Nc1ccccc1)N[C@@H]1[C@H]2CO[C@H](O2)[C@H](n2cccn2)[C@H]1O', 'COc1cc(C[C@H](O)[C@H](CC(=O)C[C@H](CCCO)c2ccc(O)c(OC)c2)OC(C)=O)ccc1O', 'CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21', 'COc1cc(Br)c(C[N+]2(CCOCC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)CCOCC2)cc1OC']"
Cc1ccc(cc1)S(N(CC(CN1CCCCC1)O)c1cccc2ccccc12)(=O)=O,"['CCCCCc1cc(CCc2c(O)c(O)c3c(O)cccc3c2/C=C/c2ccc(O)c(O)c2)ccc1CN[C@H]1C=C[C@H]2CCC[C@]23CC[C@]24CCC[C@H]2C=C[C@H](O)[C@H]4[C@@]13C1=N[CH+]N=C1', 'O=c1[nH]c2ccccc2c(=O)n1-c1c2ccccc2cc2ccccc12', 'C[C@@H]1NC(C)(C)CO[C@@]1(O)c1ccccc1', 'COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1[C@H](O2)O[C@@H](SC[C@@H](NC(=O)CC[C@@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H]1O', 'CC(=O)N[C@H]1[C@@H](OCc2ccccc2)O[C@H](CO[C@@H]2O[C@@H](C)[C@@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O', 'CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1[C@H](O)c4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@@H]2O5', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC', 'O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cnco2)cc1', 'CCNCOc1cc(OCCNC)c2c3c1[C@@H](O)Nc1cc4c(c(c1-3)CC2)[C@@H](O)[C@H](c1cc(OC)c(O)c(OC[C@H](CO)[C@@]23C[C@@H](C5(N6C(=O)C=CC6=O)CCCCC5)CC[C@@H]2CCc2ccccc23)c1)CO4', 'C[C@@H]1[C@H]2C[C@@]34COC(=O)[C@@H]3CC=C[C@H]4[C@@]13C[C@H](c1ccoc1)O[C@H]3O2', 'NCCCC[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O', 'C[C@]1(CO)CCC[C@@]2(C)[C@@H]1[C@H](OC(=O)c1ccccc1)C=C1C(=O)OC[C@@]12O', 'OCc1cnc2cc[nH]c2c1', 'CCOC(=O)C1=C/C(=C2\\CCC(=O)[C@H](c3ccc4c(c3)=C[CH+]N=4)C2)c2c(OC)c3c(c(CO)c2O1)O[C@H]([C@@](C)(O)C1CCCC1)C3', 'O=C(O)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O']"
Cc1cc(NC)nc(n1)N1CCN(CC(C1)O)CC(NC)=O,"['CCCCC/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\\CCCCCCCC', 'CCCOC(=O)/C(=C\\c1ccncc1)NC(=O)c1ccccc1', 'O=C(/C=C(O)/C=C\\c1ccc(O)cc1)CCc1ccc(O)cc1', 'C=CC[C@@H](C(=O)O)c1ccccc1', 'CC(=O)O[C@@H]1[C@@H]2O[C@H]2[C@@](C)(O)C(=O)[C@@H](C)C[C@@H]2O[C@H]2[C@@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4ccccc4)NC(=O)[C@@]132', 'COc1cc(-c2c(C)cc(O)cc2O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)oc(=O)c1', 'Cc1nc2n(c(=O)c1CCN1CCC(/C(=N\\O)c3ccc(F)cc3F)CC1)CCCC2', 'O=[N+]([O-])OC[C@@H](O)CO', 'CSCCCNC(=O)c1csc(-c2csc(CCNC(=O)CCC(=O)N3C[C@H](CCl)c4c3cc(O)c3ccccc43)n2)n1', 'CC(=O)c1c(C)cc2cc(C(=O)O)cc(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c2c1O', 'OC[C@@H]1O[C@@](CO)(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O', 'CN1CC[C@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc13', 'C[C@]12CCc3occc3[C@H]1CC[C@@]13C[C@@H](CC[C@@H]12)[C@@](O)(CO)C3', 'CC(C)CCCCCC/C=C/CCCCC(=O)O', 'COc1c(O)c(C)c(CCCCCCCCCC(=O)O)c(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1OC']"
CC(Cc1cc2c(c(c1OC)OC)OCO2)N,"['COc1cccc2c3ccnc(C4=C[C@@]5(O)CC/C=C\\CCCCN6CC[C@@H]4[C@]4(C[C@@H]7C=CCCCCN7[C@@H]54)C6)c3n(C)c12', 'Oc1ccc([C@H]2c3c(O)cc(O)cc3[C@@H]3c4c(cc(O)cc4[C@H]2[C@H]2c4cc(O)cc5c4[C@H](c4cc(O)cc(O)c4[C@@H]2c2ccc(O)cc2)[C@H](c2ccc(O)cc2)O5)O[C@@H]3c2ccc(O)cc2)cc1', 'Oc1ccccc1/C=N/NC(=S)NC1CCCCC1', 'COC(=O)CC(=O)C[C@H]1CN(C)C[C@H]1O', 'COc1cc([C@H]2Oc3c(O)ccc([C@@H]4CC(=O)c5c(O)cc(O)cc5O4)c3[C@H]2CO)ccc1O', 'C=C1CC[C@H]2[C@@H]([C@@H]3[C@H]1CC[C@@]3(C)O)C2(C)C', 'C[C@@]12C[C@H]3OC(=O)[C@@H]1CO[C@@]14C(=O)O[C@@]5([C@H](CC[C@H]6[C@]7(C)C(=O)C=CC[C@@]7(O)C=C[C@@]61O)C(=O)O[C@@]35C)[C@@H]24', 'O=C1[C@@H]2C[C@@H](CN2C(=O)c2ccno2)Oc2ccccc2N1CC1CC1', 'COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(N/C(=N/CCNC2CCN(c3ccccc3C#N)CC2)NC#N)c1', 'COc1cc(O)cc(CC2=CC(=O)C[C@H](C)O2)c1', 'C=C1[C@H]2CC[C@@H](C2)[C@]1(C)CC/C=C(/C)COC(=O)Cc1ccccc1', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\\C/C=C\\C/C=C\\CC)COC(=O)CCCCCCCCCCCCC', 'CC[C@H](C)CCO', 'Cc1nn(-c2ccc(S(=O)(=O)O)cc2)c(O)c1/N=N/c1ccccc1', 'O=C(O)c1ccc(Nc2nc(-c3ccc(Cl)cc3)nc3ccccc23)cc1']"
CCC(c1ccnn1C)NCc1ccc(c(CC=C)c1)OCC,"['C=C[C@H]1CN2CC[C@H]1C[C@@H]2CNCc1ccc(OC)cc1', 'O=C1[C@@H]2[C@@H](CCN2C(=O)C2CCCCC2)N(Cc2cccs2)C(=O)N1c1cccc(F)c1', 'CO[C@]1(CC[C@H](C)CO[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H]2C[C@@H]3[C@H]4C[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@H](O[C@@H]6OC[C@@H](O)[C@@H](O)[C@@H]6O)[C@@H]5O)[C@H]5CC(=O)CC[C@@]5(C)[C@@H]4CC[C@@]3(C)[C@@H]2[C@@H]1C', 'CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\\C/C=C\\CCCCC)OC(=O)CCCCCCCCCCCCCC', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCC(=O)OC(COC(=O)CCCCCC/C=C\\C/C=C\\C/C=C\\CCCCC)COC(=O)CCCCCC/C=C\\C/C=C\\C/C=C\\CCCCC', 'COc1ccc2nc3n(c2c1)[C@@H](CNCc1ccncc1)COC3', 'COC(=O)CCc1ncc(CN)cn1', 'CC1=CC=C[C@@](O)(C(=O)O)[C@H]1O', 'COC(=O)[C@]1(C)CC[C@@]2(C(=O)O)CC[C@@]3(C)C(=CC[C@H]4[C@]5(C)C[C@H](O)[C@@H](O[C@@H]6OC[C@@H](O[C@H]7O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]7O)[C@H](O)[C@@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1', 'CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)O[C@@H](COC(=O)CCCC/C=C\\C/C=C\\C/C=C\\CCCCC)COC(=O)CCCCCCC/C=C\\CCCCCCCC', 'COC(=O)c1cnc(C[S@](=O)c2nc3ccc(OC)cc3[nH]2)c(C)c1OC', 'CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@H]2C1', 'CC(C)C[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)NNC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](C)C(N)=O)C(C)C)C(C)C', 'COC(=O)c1c(C)cc2c(c1O)[C@]1(O)C(=O)c3cc4c(c(O)c3C(=O)[C@]1(OC)[C@H](O)C2)C(=O)C=C(N[C@H]1O[C@@H](C)[C@@H](OC)[C@@H](O)[C@H]1OC)C4=O', 'C[C@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CCC(=O)C=C1C[C@H]3O']"
C1CCC(C1)(C#N)c1ccc(cc1)c1cccc2CNCCc12,"['Cn1c(=O)c2c(c3ccccc31)OC(C)(C)[C@H](O)[C@H]2O', 'CC(C)CCC[C@H](O)[C@H]1C(=O)OC[C@@H]1CO', 'CCCCCCCC/C=C\\CCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC', 'CCCC/C=C\\CCCCCCCC(=O)OC[C@H](CO[P@](=O)(O)O[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\\CCCCCC', 'CCCCCCCC/C=C\\CCCCCCCC(=O)NCc1ccc(O)c(O)c1', 'O=C(O)CCCCCCCCO[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O', 'CC1=CC[C@H]2O[C@]1(C)O[C@@H]([C@H](C)/C=C(C)/C=C/C(O)=C1/C(=O)CNC1=O)[C@H]2C', 'C[C@H](CNCCOc1ccc(/C=C/c2ccccc2)cc1)c1ccccc1', 'CC(=O)Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2', 'CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@H](O)CC(=O)O)[C@H]21', 'O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12', 'O=C(c1no[n+]([O-])c1C(=O)c1csc2ccccc12)c1csc2ccccc12', 'Cc1cc(C)c(C[C@H](N)C(=O)O)c(C)c1', 'O=C(O)COc1cc(F)ccc1C(=O)NCc1nc2ccccc2s1', 'Cn1cc(CN[C@@H]2C[C@H](Cn3cc(C4CC4)nn3)[C@@H](O)[C@H]2O)c2ccccc21']"
